0,317,394,370
101,317,394,371
201,317,395,371
303,317,394,370
404,315,394,370
504,309,395,362
606,319,398,369
707,317,394,370
807,320,393,372
909,315,396,368
1009,323,396,372
1111,313,394,369
1212,325,399,371
1313,309,390,366
1414,326,401,372
1515,319,391,374
1616,318,396,366
1717,328,394,382
1818,316,393,373
1920,325,395,376
2021,310,398,360
2121,327,392,377
2223,311,397,361
2324,324,393,378
2424,332,406,385
2526,312,393,368
2627,324,395,372
2728,310,395,363
2829,323,398,374
2930,318,397,371
3032,311,392,366
3132,326,401,370
3233,321,388,380
3335,313,400,360
3436,316,386,376
3536,322,395,370
3638,324,398,371
3739,310,391,373
3840,314,401,356
3941,319,386,383
4042,338,410,373
4143,314,392,371
4244,324,394,375
4345,316,392,373
4447,324,397,376
4547,315,394,367
4648,337,390,376
4750,324,388,383
4850,331,408,374
4952,312,395,369
5053,308,432,401
5154,324,362,365
5255,314,395,364
5356,321,399,367
5457,304,386,362
5558,319,395,370
5659,317,390,374
5761,324,399,369
5861,316,398,365
5962,311,388,373
6064,320,395,371
6165,314,393,369
6265,326,396,372
6367,315,390,373
6468,316,396,373
6568,317,396,369
6670,313,390,373
6771,322,395,367
6873,312,390,371
6973,324,396,373
7074,317,390,374
7176,323,397,372
7276,311,392,368
7377,326,396,374
7479,318,389,380
7580,321,400,368
7681,317,399,366
7782,299,372,380
7883,324,403,365
7984,312,390,367
8085,328,385,397
8186,313,396,361
8287,304,364,383
8388,312,396,364
8489,329,396,377
8591,319,397,370
8691,315,393,374
8793,308,422,397
8894,326,393,380
8994,311,387,372
9096,326,393,379
9197,319,392,373
9298,321,389,378
9399,332,382,366
9500,337,425,367
9602,317,379,380
9702,313,395,368
9803,320,395,373
9905,316,391,374
10006,322,398,372
10106,312,395,369
10208,328,399,375
10309,313,389,369
10411,313,390,374
10511,318,393,372
10612,317,395,367
10714,315,395,367
10815,321,393,379
10915,313,394,367
11017,319,391,377
11118,321,395,370
11219,313,396,368
11320,320,395,375
11421,321,400,371
11523,316,394,371
11624,328,399,375
11724,312,396,368
11826,321,392,376
11927,311,392,369
12028,324,399,374
12129,315,398,367
12230,316,390,376
12332,311,405,352
12433,327,374,380
12533,308,399,362
12635,325,395,378
12736,309,391,369
12837,296,371,373
12938,317,393,374
13039,315,388,375
13140,314,396,368
13242,311,383,377
13342,314,392,374
13444,320,381,376
13545,313,392
