0,314,393,369
101,314,393,369
201,314,393,370
303,314,393,370
404,315,394,371
504,312,393,370
606,321,397,374
707,309,388,372
807,320,396,375
909,307,394,362
1009,323,396,375
1111,311,393,369
1212,322,398,371
1313,313,391,371
1414,318,398,372
1515,320,392,378
1616,316,396,371
1717,316,393,374
1818,319,393,372
1920,309,396,360
2021,329,396,378
2121,312,397,362
2223,326,393,381
2324,319,397,367
2424,312,387,377
2526,320,403,368
2627,312,383,376
2728,320,395,371
2829,320,400,365
2930,309,385,372
3032,317,395,364
3132,338,400,387
3233,312,398,363
3335,321,395,373
3435,317,394,372
3536,318,393,368
3638,308,393,363
3739,325,391,380
3840,325,396,374
3941,311,388,370
4042,333,395,382
4143,316,392,372
4244,331,396,378
4345,316,394,368
4447,323,388,376
4547,322,390,379
4648,318,394,370
4750,304,389,369
4850,319,407,357
4952,297,416,406
5053,307,390,363
5154,336,401,377
5255,312,393,367
5356,318,387,379
5457,316,393,371
5558,312,393,369
5659,326,398,374
5761,314,392,368
5861,320,398,372
5962,321,396,376
6064,317,393,372
6165,325,404,368
6265,318,393,373
6367,322,393,374
6468,317,394,373
6568,320,394,369
6670,317,391,370
6771,329,399,374
6873,323,382,392
6973,320,398,367
7074,317,395,366
7176,316,396,368
7276,325,398,371
7377,316,390,375
7479,325,391,374
7579,309,394,366
7681,331,400,372
7782,323,408,365
7883,300,391,370
7984,316,399,366
8085,324,398,375
8186,320,398,370
8287,304,392,364
8388,316,386,375
8489,314,395,369
8591,322,395,377
8691,308,385,366
8793,315,393,374
8894,308,388,374
8994,311,396,358
9096,319,393,372
9197,312,394,368
9298,319,392,376
9399,310,390,368
9500,309,387,372
9602,315,394,370
9702,311,389,370
9803,328,405,372
9905,312,394,368
10005,317,399,369
10106,307,386,373
10208,315,394,368
10309,312,390,369
10409,318,396,369
10511,310,393,365
10612,314,392,369
10714,311,388,372
10815,313,393,373
10915,312,396,365
11017,314,386,376
11118,312,394,368
11219,318,397,369
11320,316,400,364
11421,317,384,372
11523,322,392,378
11624,320,390,377
11724,309,390,373
11826,322,397,368
11927,319,387,380
12028,314,394,37
